,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity,lyrics
10,Tried Our Best,For All The Dogs Scary Hours Edition,2023,0.57,0.837,0.295,0.0,0.167,-13.693,0.0445,84.139,0.231,64,"[Intro]Oh, ohOh, ohOh, ohOh, ohOh, ohOh[Verse 1]I swear that there's a list of places that I been with you, I wanna go without youJust so I can know what it's like to be there without havin' to argueSwear I didn't have the discipline to leave your ass at home, you make it hard toThis life'll take a lot of listenin' to one another, shouldn't have involved youI know not to lie, ohLeave you at home if I wanna have a good nightLeave you at home if I wanna have a good timePeace of mindLeave you at home, bein' honest with you sometimеs, I mightLeave you at home, bluе bubbles blowin' my line, hard timesStressed out, bad vibes[Chorus: Drake with Ty Dolla $ign]Treat you likeTreated you likeYou're one of mineTreated youTreated youTreated you, treated youTreated you, treated youTreated you, treated youTreated you, treat you rightTreat you right"
11,Screw The World - Interlude,For All The Dogs Scary Hours Edition,2023,0.823,0.0644,0.642,0.714,0.105,-5.922,0.258,146.781,0.629,59,
12,Drew A Picasso,For All The Dogs Scary Hours Edition,2023,0.709,0.334,0.377,0.0,0.176,-11.327,0.219,127.921,0.147,63,"[Intro](Baby, you know, you know, you know I need your love)[Verse 1]You cannot find no one better than thisTryna do right by you, but we can't mix, I tryTakin' three months off, then fuckin' againAfter you said we not fuckin' againNever say ""never,"" just say what it isAct like you need some insurance on itWe didn't get here on accidentDon't make me bring out them racks againYour two best friends are some savagesDamn, how many days has it been?Swearin' it's different, not genuineMovin' like Snoopy and Charlie BrownFeel like you tryna dog the kid[Bridge]You're mineToo many reasons whyI can't picture you with himThat's just so embarrassin'I want to diе, to dieI swear that I wanted you back thеnWaitin' on you like a backendYou bad as fuck, ain't no cappin'Statements you claimed never happened"
13,Members Only (feat. PARTYNEXTDOOR),For All The Dogs Scary Hours Edition,2023,0.647,0.245,0.34,0.0,0.107,-8.795,0.0496,91.998,0.176,63,"[Intro: Drake & PARTYNEXTDOOR]WaitWait, wait, wait, yeahWake up every dayLord, please guide my wayI'm so grateful (Yeah)[Verse 1: Drake, PARTYNEXTDOOR, Both]I can't wait for September'Cause that means that next month, it's goin' down like timberYou're too down with the gangy, you're one of my membersShe gotta represent for the guys now, they gotta see a part of me in her (Yeah)Red flag, blue flag, green flag, and a white flag to surrender (Yeah)My ex girl was a head case, I cannot defеnd her[Chorus: Drake, Both]You're too down with the gangy, you'rе one of my membersThey see you comin' 'round in the realest way, now them hoes gettin' friendlierYou're too down with theYou're too down with the gangy, with the gangyWith the, what, with the gangyYou're too down with the membersYou're too down for the O, girl, fuck November, December[Verse 2: PARTYNEXTDOOR]Ask them other guys in the city what happenedLOL gang, we the last ones laughin'Are you jackin' them or jackin' us?When you ride around the 6ix, girlAre you slappin' them or slappin' us?I know the answerI'll take you farther than Mexico (Yeah, yeah)You still got niggas hard pressed on you though (Yeah)I know you, shorty a ten, but not the Messi ho (Yeah)You standin' tall like the star-spangledI'll give you my all if you're ready for itHop off the block if you're Jenny for me (Yeah)Hop off the yacht with the Henny for me (Gangsta, gangsta, gangsta)You know the airport is callin' our nameYou know the Clearport is callin' our nameI'll take you farther than Biscayne, my girl (Woo, gangsta, gangsta, yeah)"
14,What Would Pluto Do,For All The Dogs Scary Hours Edition,2023,0.832,0.0506,0.555,0.0,0.213,-7.766,0.116,95.618,0.473,63,"[Chorus: Drake & Lil Yachty]Damn, okay (Yeah)I been out the way in a cut, it's been a minute (Been a minute)Workin' on a album, now it's finishedLast time I saw her, she was fuckin' with my niggaSo the question is, the question is (Yeah)What would Pluto do? He'd fuck the ho, so I did it (Yeah, yeah)What would Pluto do? He'd fuck the ho, so I did it (Yeah, yeah)What would Pluto do? He definitely fuckin' on this ho, ayy[Verse 1: Drake]Wigglin' back into my old ways, ayyBunch of sedatives, hypnotics in my system, okayLife is goin' just how I predicted, okayDroppin' two Cialis in a liquid, okayI ain't got a strap, I gotta risk it, okayBaby girl, Adonis need a sister, okayAnd my baby mama out the picture, okayThink I'm 'Luminati 'cause I'm rich, well, okay[Verse 2: Drake]Diamonds in the skyPut your face down, ass in the airTwo cups up, ayy, bussin' off pillKeep our shit trill, crack a new sealNew Rolls, bought it for the thrillToo lazy to even change out the wheelYeah, thought they knew my body, guess they don'tThought they knew my body, guess they don't, ayyThought they knew my body, guess theyAyy, guess they don't"
15,All The Parties (feat. Chief Keef),For All The Dogs Scary Hours Edition,2023,0.572,0.543,0.406,0.0,0.0982,-10.081,0.308,125.019,0.226,63,"[Part I][Intro: Drake]AyyAyy, ayyGrr[Verse: Drake]Yeah, Jason got money that glow in the darkHit up the dawg like I'm OVO MarkWalk-in closet, got more Chrome in than StarkForty K a night to sleep at the MarkGuess it’s time for me to cover the sharkMe and KD 'bout to turn up the artFuck you hoes, I swear I'm breakin’ your heartIt's brokenI bought the house just to knock that shit downI bought the Rolls just to take it apartShe bought an ass, now she makin' it archDoctor's office was the last time that you niggas even had your name on a chartShawty graduated, playin' it smart (Ayy, yeah)[Chorus: Chief Keef]Used to be a smartyUsed to wanna study, now she poppin' AddiesShe at all the partiеs, T'd up with 3HunnaShe just did her body, she in lovе with SosaGirl, you such a thottieAyy, Sosa, baby"
16,8am in Charlotte,For All The Dogs Scary Hours Edition,2023,0.567,0.643,0.682,0.0,0.512,-6.423,0.274,79.043,0.668,64,"[Intro]In God's hands (Conductor)Be gratefulThat He was thereGlory (Yeah)I'm out here on the roadYou can hear it in the voice (Glory)Still get this shit off, thoughLook[Verse 1]The money speakin' for itself, I call it fortune-tellFire top from a bitch that work at corporate salesChinchilla ushanka, we skiin' out in CourchevelBreakin' news, they tried to kill him, but the boy prevailsI leave for tour and my niggas fuckin' go to jailPreachin' to the dogs 'bout wantin' more for themselvesIt's weighin' heavy on my moral scaleKnowin' they gon' sell another citizen 'caine, they think they Orson WellesWalk in Chanel, they like, ""How the fuck you need more Chanel?""I got these cats tuckin' tails on fourth-quarter salesI'm used to seein' tears drop over enormous mealsThe restaurant clears out, faint echoes of Lauryn HillI say, ""We gotta talk about us,"" I feel like Jordan PeeleCould tell I'm gettin' under your skin like a orange peel'Cause your words don't match your actions like a foreign filmAnd now it's silence in the Lamb' like the horror filmThings get quiet after me statin' the obviousThings get kinky after fifteen years of dominanceThat October sky is lookin' ominousThe money is autonomousShout' to Oliver North, he out in Rome doin' Toronto shitAnd Jeremiah the watchdog, you niggas know what time it isI'm in and out of Houston Hobby so much, I'm a hobbyistHoes waitin' on Cench in the lobby, that boy a lobbyistSavage got a green card straight out of the consulateWhere I go, you go, brother, we YugoslavianFormal is the dress code, dawg, so many checks owedI feel Czechoslovakian, nigga, what the fuck?"
17,BBL Love - Interlude,For All The Dogs Scary Hours Edition,2023,0.502,0.845,0.391,0.0,0.112,-9.013,0.0428,132.819,0.574,60,
18,Gently (feat. Bad Bunny),For All The Dogs Scary Hours Edition,2023,0.868,0.0481,0.452,0.000182,0.133,-6.825,0.304,107.538,0.241,62,"[Intro: Drake]YeahMy G, Tití came VIP with rebañoBaby, my wrist is from CasablancoMe gusta su sonrisa aunque me haga dañoI live like Sopranos, ItalianosI've been El Chico for cincuenta añosMe gusta su culazo perreandoLe da hasta abajo, le gusta este tamañoDale, Papi Champaño, jeezAh, eh, eh, eh, eh, eh[Verse 1: Drake]Either I slow down the trip or I speed up the visaMi nah wan' leave yaGrab Eliza, bring her to IbizaIntroduce you to Richie AkivaMy broski Benito, he needs a bonitaA freak-ah, bien loquitaGracie Bon, mi amor, mi amigaElla sabe que está bien rica[Bridge: Bad Bunny & Diulka Cristina Pérez]¿Usted se cree que yo quiero que me invierta mi dinero en la 42 donde la gente está bailando dembow?Ey, ja, ey, ey, eyAy, santo, Dios mío, qué acicaleEn RD están to's mis cueros, en PR to'a las yalesLas mías se roban el show si saleTo's quieren ser yo, pero no les sale"
19,Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs Scary Hours Edition,2023,0.636,0.0458,0.729,0.0,0.384,-4.495,0.055,146.009,0.141,66,"[Part I][Intro: Jessica Domingo]Is it allI could be enoughIs it allI could be enoughIs it[Chorus: Sexyy Red]Bend that ass over (Baow), let that coochie breathe (Yeah)Shake that ass, bitch, hands on your knees (Ho)Hands on your knees (Ho), hands on your knees (Ow)Shake that ass for Drake (Yup), now, shake that ass for meBend that ass over (Baow), let that coochie breathe (Yeah)Shake that ass, bitch, hands on your kneesHands on your knees, hands on your kneesShake that ass for Drake (Yeah), now, shake that ass for me[Verse 1: Drake]Ayy, I still got some love deep inside of meNo need to lie to me, I know you got a guyHe's not a guy to meJust say goodbye to him, then take the ride to mе, ride to meI still got some lovе deep inside of mePlease drag it out of meYou just mightJust might get that G-Wagon out of mePlease drag it out of me, please drag it outRollie gang, patty gang, rich baby daddy gangI'm with Red like I'm at a Cincinnati gameHood bitch, tat her gang 'fore she tat her nameReal bitch, held me down 'fore I had a nameHeard there's money on my head, what is that to me?I put a hundred bands on him, he put a rack on meWe from two different worlds, but it's a match to meThe bend it over only time she turn her back on me (For real)"
20,Another Late Night (feat. Lil Yachty),For All The Dogs Scary Hours Edition,2023,0.702,0.0144,0.71,0.0,0.144,-5.003,0.0459,158.129,0.282,62,"[Intro: Drake](Grow up, nigga)Grrah, grrah, ayyThis lil' Drizzy reppin' 'Crete, ayyMy brother Capo from the way, he from the street, ayyWanna fuck with me? Well, baby, I'm discreet, ayy[Verse 1: Drake]Ayy, thinkin' 'bout this pill I took, pillow talkin'Shawty rinsin' Dillon Brooks, can't believe this nigga talkin', damnMy bank account is magnolia, Milly rockin', ayyWeirdos in my comments talkin' 'bout some Millie Bobby, lookBring them jokes up to the gang, we get to really flockin'Or send a finger to your mama in some FedEx boxesOpen up that shit, it's jaw droppin', really shockin', ayyI ain't pretty flacko, bitch, this shit get really rocky, ayy, what? Damn, what?Dirty how I did him in the Wraith, what? SayShe actin' Hollywood, this ain't L.A., no wayShe a pretty little liar like she Shay, but that's baeLong as she don't lie to me, then it's okay[Chorus: Drake & Lil Yachty]It's just another late night with my bitch, ayyJust another late night with my bitch, ayy (With my bitch)And I hate to even call her ass my bitch, ayy (Yeah, my bitch)'Cause I love that ho, don't even make no sense, man (Pssh, pssh)Just another late night with my dawg (Pssh, with my dawg)Just another late night with my bitch (Pssh, with my bitch)And we ridin' 'round tryna make sense (Make sense)Of whatever comes first, it comes next (Yeah, blatt)"
21,Away From Home,For All The Dogs Scary Hours Edition,2023,0.848,0.0195,0.625,0.0,0.109,-7.64,0.0587,93.019,0.226,62,"[Intro](I-I-I—)Ayy, what?It's so, is it real?Yeah, ayy[Verse 1]Give a fuck if they rememberI was in the cold, windows froze, I was sleepin' in the whip tryna get a fucking gripI rememberDidn't have no hoes tryna go, all these rappers lil' broed me, fuck, fuckFuck 'em, I rememberWay before they had a fuckin' DM, I was whippin' in the Ac' like that shit was EuropeanI rememberI remember drivin' Holland Tunnel for a label meetin', thinkin' 'bout more cake than a funnelI rememberNow these niggas don't rememberI know Neeks remember, I know Jay remember, Chubbs'll make them boys rememberDead broke, splittin' pennies with my membersFuck a spread, we was splittin' chicken tenders (I-I-I—)'Member I was sleepin' in the basement, watchin' Tigger in the basement, I was tryna get a placementI rememberDays in the East with the bros, watchin' Tristan and Devoe while they runnin' up the scoreI rememberTT was headed to the league, I was sleepin' up at Metalworks tryna plant a seedI rememberRollin' through the city, gettin' beats, always peepin' out the streets 'cause I was beefin' with the bleeksI rememberI was tryna get a portion, tryna make a fortuneB-Town with Candy, I'm tryna be her boyfriend3 AM at Y2, runnin' off endorphinsStart adoptin' all my brothers' beefs like a orphanI was still on roads when it's pourin' and stormin'This shit is not rewardin', I do not feel importantI wanna see some scratch from the shit that I'm recordin'In Memphis smokin' Blacks, tryna act like I enjoy them (I-I-I—)Maurice François Girbaud what I'm sportin'And Mos Def gave me like a rack for performin'Crib I got now make me think of when I had to put some money on a mortgage"
22,Polar Opposites,For All The Dogs Scary Hours Edition,2023,0.44,0.0924,0.274,3.37e-06,0.128,-14.464,0.0809,76.513,0.343,63,"[Intro]YeahAyy[Verse 1]Tweakin' on vacation with meYou set limitations with meWhy do I get treated different?I don't know how you run the bases with meThen say nothing sacred with meWhy do I get treated different?Sun is setting on the Atlantic, I bet a full moon is gonna showWondering what rocks your boatWhat keeps your heavy heart afloatI don't know, I don't know[Chorus]Bipolar baby, seems like it just went undiagnosedBlocked me on everything, that's so immature, so unprovoked, IDon't even know why[Verse 2]Had plans to understand yaMariana, you broke my faithWhy you gotta listen to the propaganda?Wе just broke the ice, and now you'rе both leavingI was being kind, I don't understand yaYou should let your sister be the voice of reasonEither it's your text that I'm misreadingOr it's just your actions are misleadingDon't know how they do things in PristinaI just know the tension is increasingIt's plenty people dead to me still breathingPlenty other ways to get over peopleYou ain't had to step on me to gain freedomNo, no, you remind me of someone I think you knowYou know and I know things that she didn't knowI'm not the same person I was five drinks agoYou tried to grease me, but we're not in MykonosI don't get hurt much, but I'm not invincibleBidin' my time with you, then things got politicalOh, I read your last text, you're gettin' boldTellin' me what rocks your boat, what keeps your heavy heart afloatI don't know"
23,Red Button,For All The Dogs Scary Hours Edition,2023,0.455,0.155,0.707,0.0,0.132,-5.765,0.179,114.47,0.393,69,"[Intro]Check, yesOne, one-one, oneAyy, yeahLook[Verse]The most decorated, competition decimatedMy drive is dedicated, your drive is designatedNiggas got you to the spot and then you separatedReasons for it speculated, we know how it escalatedRarely celebrated, grade eleven educatedRadio is king again, Billboard got me regulatedWanna makе it fair for you, numbers that I generatеdDo right and kill everything, people knew that death awaitedTaylor Swift the only nigga that I ever ratedOnly one could make me drop the album just a little laterRest of y'all, I treat you like you never made itLeave your label devastatedEven when you pad the stats, period, I never hatedEven when you stab me in the back, the vest is metal-platedTryna see a B inside my circle like I'm gettin' gradedMan, all this luggage in the lobby like I'm gettin' tradedEvery time you need me for a boost, I never hesitatedEvery time that Yeezy called a truce, he had my head inflatedThinkin' we gon' finally peace it up and get to levitatin'Realize that everything premeditatedEveryone was good with me, then everyone expression fadedTickin' time bomb and they beggin' me to detonate itIf I press this red button, dog, everybody Heaven GatedPress this red button, dog, and everything forever changesWord to M-Dolla, she the only one could maybe save itShould've hit you first, but, sis, you know about the shit I've takenNiggas think it's sweet, but I am not a diabetic patientNoI will start blackin' over here like it's segregationI will fuckin' double-cross you niggas like it's meditationI'll give you a hard pill to swallow, this your medicationI will fuckin' pop up on your ass like a revelationI could tell you better than I show you, this a demonstrationI will fuckin' leave you in the dirt like some vegetationChemicals is mixin' in my brain and killin' hesitationI will fuckin' force a few shots like a vaccinationNiggas fuckin' call me up to cap, this not a graduationI will fuckin' put your ass on pause like I'm Pastor MasonI will set alarms off and cause a whole evacuationI'll fuckin'—, I'll fuckin'—I'll get to you ten years from now like procrastinationI'll fuckin' find out wherever y'all are celebratin'Pull up, park my Phantom on the curb like I'm Larry DavidAnd then we'll see who's really crazy"
24,Stories About My Brother,For All The Dogs Scary Hours Edition,2023,0.65,0.572,0.839,7.12e-05,0.219,-4.428,0.18,87.39,0.846,70,"[Intro](Conductor)Yeah, right backI walked in the studio, Noel said, ""I thought you quit""I said ""Nah, I'm quittin' again 'cause I started again""Gotta wait on thatThis like the storm before the calm, we'll get to the vacation laterFor realAyyLookLook[Verse 1]This is the decompress before the intermissionDone a lot of postgame talkin', but this one differentI told Lee to put him in the car, but don't pistol whip himAnd definitely do not shoot his ass 'til you get permissionPeople got a heavy misread on my dispositionTalkin' loose, then hit me up after on some ""Please, Drake listen, listen""Energy they bringin' is inconsistentI got two Virgil Benzes, one that I'm whippin' right nowAnd the other one, I'm keepin' in mint conditionAnd niggas bound to slip eventually like they sent permissionImagine us gettin' our validation from an ex-musician searchin' for recognitionSame story every time, they heckle in repetitionI'm top of the mountain, these niggas still down at base camp, they plannin' they expeditionY'all the type to catch a charge, head to the depositionAnd act like the rapper named after the sex positionBut let me tell you 'bout my brother, thoughLet me tell you 'bout my brother, though, for realLet me tell you 'bout my brotherMan, let me tell you 'bout my brother, thoughMy brother a tool toter, my brother a tombstonerDiamonds and violence made us bond, we grew closerBrother a clip loader, my brother a sick soldierThat nigga stick'll it to you for real, he a lint rollerMy brother a aim botter, I bought him a Range RoverMy brother a flame throwerIt's like he playin' EDM, that nigga a chain smokerNiggas want smoke with us, I promise, it's game overGet your ass twist right here, he a kane rollerAnd then you niggas whine to J Prince, like some grape growersMan, what the—?"
